"level_1","level_2","level_3","level_4","level","lowest_cause","cause_name","rei_level_1","rei_level_2","rei_level","rei_name","Incidence","Pct_of_Ecode_Resulting_in_Ncode","Pct_of_Ncode_from_lowest_Ecodes"
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of vertebral column",2,"Fracture of vertebral column",1807446.44921087,1.69390048227394,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of femur, other than femoral neck",2,"Fracture of femur, other than femoral neck",4259487.05830223,3.99190094149006,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Head Injuries",NA,1,"Head Injuries",12014105.9324883,11.2593653007076,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Head Injuries","Minor TBI",2,"Minor TBI",4177629.98864139,3.91518623172005,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Head Injuries","Moderate/Severe TBI",2,"Moderate/Severe TBI",7836475.94384693,7.34417906898758,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Spinal Injuries",NA,1,"Spinal Injuries",251644.460774282,0.235835852095771,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Spinal Injuries","Spinal cord lesion at neck level",2,"Spinal cord lesion at neck level",139235.160006054,0.130488239243113,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Spinal Injuries","Spinal cord lesion below neck level",2,"Spinal cord lesion below neck level",112409.300768228,0.105347612852658,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Minor Injuries",NA,1,"Minor Injuries",37826880.8861254,35.4505505841689,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Minor Injuries","Muscle and tendon injuries, including sprains and strains lesser dislocations",2,"Muscle and tendon injuries, including sprains and strains lesser dislocations",7296563.5824491,6.83818465363064,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Minor Injuries","Foreign body in ear",2,"Foreign body in ear",263698.987302921,0.247133098722004,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Minor Injuries","Open wound(s)",2,"Open wound(s)",14885562.0691251,13.9504330979312,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Minor Injuries","Contusion in any part of the body",2,"Contusion in any part of the body",6006945.60754732,5.62958203605986,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Minor Injuries","Superficial injury of any part of the body",2,"Superficial injury of any part of the body",9374110.63970096,8.78521769782521,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries",NA,1,"Other Injuries",15274709.8401666,14.3151341364216,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Dislocation of hip",2,"Dislocation of hip",586215.756891859,0.549388975672966,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Dislocation of knee",2,"Dislocation of knee",547653.972862577,0.513249689447881,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Dislocation of shoulder",2,"Dislocation of shoulder",944833.518256008,0.885477936533714,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Foreign body in respiratory system",2,"Foreign body in respiratory system",327641.823133196,0.307058968447304,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Foreign body in GI and urogenital system",2,"Foreign body in GI and urogenital system",311455.721831295,0.291889697560525,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Drowning and nonfatal submersion",2,"Drowning and nonfatal submersion",262238.606413195,0.245764460721973,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Asphyxiation",2,"Asphyxiation",231484.099927491,0.216941989444346,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Crush injury",2,"Crush injury",261321.55631398,0.244905020816571,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Nerve injury",2,"Nerve injury",578789.992941982,0.542429707174892,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Injury to eyes",2,"Injury to eyes",1068509.41450426,1.00138436374324,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Poisoning requiring urgent care",2,"Poisoning requiring urgent care",970103.876489022,0.909160780369462,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Severe chest Injury",2,"Severe chest Injury",1858015.77386263,1.74129298093041,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Internal hemorrhage in abdomen and pelvis",2,"Internal hemorrhage in abdomen and pelvis",2902863.40408841,2.72050202223559,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Effect of different environmental factors",2,"Effect of different environmental factors",366188.470218662,0.343184068649648,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Complications following therapeutic procedures",2,"Complications following therapeutic procedures",1695833.63066887,1.58929931567296,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Other Injuries","Multiple fractures, dislocations, crashes, wounds, pains, and strains",2,"Multiple fractures, dislocations, crashes, wounds, pains, and strains",2361560.22176313,2.21320415900012,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations",NA,1,"Amputations",1602122.26498199,1.55214926953215,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations","Amputation of lower limbs, bilateral",2,"Amputation of lower limbs, bilateral",39834.0325618593,0.038591539419187,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations","Amputation of upper limbs, bilateral",2,"Amputation of upper limbs, bilateral",53621.0761118856,0.0519485409682678,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations","Amputation of fingers (excluding thumb)",2,"Amputation of fingers (excluding thumb)",517042.591867169,0.500915129153802,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations","Amputation of lower limb, unilateral",2,"Amputation of lower limb, unilateral",315887.739251861,0.306034648197995,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations","Amputation of upper limb, unilateral",2,"Amputation of upper limb, unilateral",67123.8490862967,0.0650301388381571,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations","Amputation of thumb",2,"Amputation of thumb",264330.047321376,0.256085130849788,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Amputations","Amputation of toe/toes",2,"Amputation of toe/toes",344282.92878154,0.333544142104949,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Burns",NA,1,"Burns",1183017.71875023,1.14611732708327,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Burns","Lower airway burns",2,"Lower airway burns",39940.5958890218,0.0386947788498032,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Burns","Burns, <20% total burned surface area without lower airway burns",2,"Burns, <20% total burned surface area without lower airway burns",816779.28340765,0.79130250906564,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Burns","Burns, >=20% total burned surface area or >= 10% burned surface area if head/neck or hands/wrist involved w/o lower airway burns",2,"Burns, >=20% total burned surface area or >= 10% burned surface area if head/neck or hands/wrist involved w/o lower airway burns",326297.839453556,0.316120039167827,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures",NA,1,"Fractures",36914939.6738091,35.763498143614,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of clavicle, scapula, or humerus",2,"Fracture of clavicle, scapula, or humerus",4157190.85922146,4.02752080567262,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of face bones",2,"Fracture of face bones",2073637.65528202,2.00895727015973,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of foot bones except ankle",2,"Fracture of foot bones except ankle",1753938.76895655,1.69923035123079,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of hand (wrist and other distal part of hand)",2,"Fracture of hand (wrist and other distal part of hand)",2546019.50121021,2.46660470014906,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of hip",2,"Fracture of hip",1915931.5465669,1.85617029079291,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of patella, tibia or fibula, or ankle",2,"Fracture of patella, tibia or fibula, or ankle",9284674.21699268,8.99506898988834,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of pelvis",2,"Fracture of pelvis",1622178.81053661,1.57158021635336,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of radius and/or ulna",2,"Fracture of radius and/or ulna",5016385.0378585,4.85991521520463,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of skull",2,"Fracture of skull",1751447.96893391,1.69681724361711,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of sternum and/or fracture of one or more ribs",2,"Fracture of sternum and/or fracture of one or more ribs",941089.586980244,0.911735356859369,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of vertebral column",2,"Fracture of vertebral column",1748408.40138604,1.69387248549706,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Fractures","Fracture of femur, other than femoral neck",2,"Fracture of femur, other than femoral neck",4104037.31988397,3.97602521818906,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Head Injuries",NA,1,"Head Injuries",11649382.2788494,11.2860176715789,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Head Injuries","Minor TBI",2,"Minor TBI",4062685.85384995,3.9359635767016,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Head Injuries","Moderate/Severe TBI",2,"Moderate/Severe TBI",7586696.42499941,7.35005409487731,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Spinal Injuries",NA,1,"Spinal Injuries",229640.550947482,0.222477660537413,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Spinal Injuries","Spinal cord lesion at neck level",2,"Spinal cord lesion at neck level",127371.810496336,0.123398860962148,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Spinal Injuries","Spinal cord lesion below neck level",2,"Spinal cord lesion below neck level",102268.740451146,0.0990787995752642,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Minor Injuries",NA,1,"Minor Injuries",37238620.0293587,36.0770823427786,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Minor Injuries","Muscle and tendon injuries, including sprains and strains lesser dislocations",2,"Muscle and tendon injuries, including sprains and strains lesser dislocations",7179243.32890169,6.95531017345519,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Minor Injuries","Foreign body in ear",2,"Foreign body in ear",244189.579595333,0.236572879536456,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Minor Injuries","Open wound(s)",2,"Open wound(s)",14578476.932798,14.1237487404796,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Minor Injuries","Contusion in any part of the body",2,"Contusion in any part of the body",5933721.23409475,5.7486380911204,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Minor Injuries","Superficial injury of any part of the body",2,"Superficial injury of any part of the body",9302988.95396886,9.01281245818697,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries",NA,1,"Other Injuries",14401877.3266162,13.9526575848756,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Dislocation of hip",2,"Dislocation of hip",555198.056843127,0.537880458445794,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Dislocation of knee",2,"Dislocation of knee",516310.592303277,0.500205961936526,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Dislocation of shoulder",2,"Dislocation of shoulder",911951.106186426,0.883505756242772,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Foreign body in respiratory system",2,"Foreign body in respiratory system",300703.628956347,0.291324156858595,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Foreign body in GI and urogenital system",2,"Foreign body in GI and urogenital system",276735.528387644,0.268103663265239,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Drowning and nonfatal submersion",2,"Drowning and nonfatal submersion",232495.087673932,0.225243159270971,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Asphyxiation",2,"Asphyxiation",213867.933122958,0.207197018248093,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Crush injury",2,"Crush injury",243140.607169747,0.235556626395407,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Nerve injury",2,"Nerve injury",539245.570270507,0.52242555782921,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Injury to eyes",2,"Injury to eyes",1017310.82500484,0.985579121164116,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Poisoning requiring urgent care",2,"Poisoning requiring urgent care",803153.453669527,0.778101692787717,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Severe chest Injury",2,"Severe chest Injury",1806980.16337323,1.75061729178976,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Internal hemorrhage in abdomen and pelvis",2,"Internal hemorrhage in abdomen and pelvis",2814870.7325718,2.7270699914016,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Effect of different environmental factors",2,"Effect of different environmental factors",330003.197616952,0.319709820729683,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Complications following therapeutic procedures",2,"Complications following therapeutic procedures",1545686.44374782,1.49747378026476,NA
"Injuries","Transport injuries","Road injuries",NA,3,0,"Road injuries","Other Injuries","Multiple fractures, dislocations, crashes, wounds, pains, and strains",2,"Multiple fractures, dislocations, crashes, wounds, pains, and strains",2294224.39971809,2.22266352824533,NA
"Injuries","Transport injuries","Road injuries","Pedestrian road injuries",4,1,"Pedestrian road injuries","Amputations",NA,1,"Amputations",421465.271890657,2.05931902342338,3.18499328609708
"Injuries","Transport injuries","Road injuries","Pedestrian road injuries",4,1,"Pedestrian road injuries","Amputations","Amputation of lower limbs, bilateral",2,"Amputation of lower limbs, bilateral",12646.0422698637,0.0617897538758613,5.81937566775014
"Injuries","Transport injuries","Road injuries","Pedestrian road injuries",4,1,"Pedestrian road injuries","Amputations","Amputation of upper limbs, bilateral",2,"Amputation of upper limbs, bilateral",12717.9808406674,0.0621412525099225,4.2035329801921
